gold_id,task_type,stratum_index,independent_review_required,source_reference,context_before,user_query,ai_context,expected_route,expected_entity_id,expected_entity_name,expected_entity_type,expected_broad_topic,expected_behavior,expected_interest_signal,annotator_1,annotator_2,adjudicator,review_status,notes
G001,cleaning_route,1,no,,,,,,,,,,,,,,,,unlabeled,
G002,cleaning_route,2,no,,,,,,,,,,,,,,,,unlabeled,
G003,cleaning_route,3,no,,,,,,,,,,,,,,,,unlabeled,
G004,cleaning_route,4,no,,,,,,,,,,,,,,,,unlabeled,
G005,cleaning_route,5,yes,,,,,,,,,,,,,,,,unlabeled,
G006,cleaning_route,6,no,,,,,,,,,,,,,,,,unlabeled,
G007,cleaning_route,7,no,,,,,,,,,,,,,,,,unlabeled,
G008,cleaning_route,8,no,,,,,,,,,,,,,,,,unlabeled,
G009,cleaning_route,9,no,,,,,,,,,,,,,,,,unlabeled,
G010,cleaning_route,10,yes,,,,,,,,,,,,,,,,unlabeled,
G011,cleaning_route,11,no,,,,,,,,,,,,,,,,unlabeled,
G012,cleaning_route,12,no,,,,,,,,,,,,,,,,unlabeled,
G013,cleaning_route,13,no,,,,,,,,,,,,,,,,unlabeled,
G014,cleaning_route,14,no,,,,,,,,,,,,,,,,unlabeled,
G015,cleaning_route,15,yes,,,,,,,,,,,,,,,,unlabeled,
G016,cleaning_route,16,no,,,,,,,,,,,,,,,,unlabeled,
G017,cleaning_route,17,no,,,,,,,,,,,,,,,,unlabeled,
G018,cleaning_route,18,no,,,,,,,,,,,,,,,,unlabeled,
G019,cleaning_route,19,no,,,,,,,,,,,,,,,,unlabeled,
G020,cleaning_route,20,yes,,,,,,,,,,,,,,,,unlabeled,
G021,cleaning_route,21,no,,,,,,,,,,,,,,,,unlabeled,
G022,cleaning_route,22,no,,,,,,,,,,,,,,,,unlabeled,
G023,cleaning_route,23,no,,,,,,,,,,,,,,,,unlabeled,
G024,cleaning_route,24,no,,,,,,,,,,,,,,,,unlabeled,
G025,cleaning_route,25,yes,,,,,,,,,,,,,,,,unlabeled,
G026,cleaning_route,26,no,,,,,,,,,,,,,,,,unlabeled,
G027,cleaning_route,27,no,,,,,,,,,,,,,,,,unlabeled,
G028,cleaning_route,28,no,,,,,,,,,,,,,,,,unlabeled,
G029,cleaning_route,29,no,,,,,,,,,,,,,,,,unlabeled,
G030,cleaning_route,30,yes,,,,,,,,,,,,,,,,unlabeled,
G031,cleaning_route,31,no,,,,,,,,,,,,,,,,unlabeled,
G032,cleaning_route,32,no,,,,,,,,,,,,,,,,unlabeled,
G033,cleaning_route,33,no,,,,,,,,,,,,,,,,unlabeled,
G034,cleaning_route,34,no,,,,,,,,,,,,,,,,unlabeled,
G035,cleaning_route,35,yes,,,,,,,,,,,,,,,,unlabeled,
G036,cleaning_route,36,no,,,,,,,,,,,,,,,,unlabeled,
G037,cleaning_route,37,no,,,,,,,,,,,,,,,,unlabeled,
